EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6661,20,5,Southern Slopes (Tasmania),frequent,22.4,10.73,39.42,27.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6662,20,5,Southern Slopes (Tasmania),frequent,18.52,18.52,30.86,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6606,20,5,Southern Slopes (Tasmania),intermediate,17.33,24,28,30.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6609,20,5,Southern Slopes (Tasmania),intermediate,15.51,24.14,17.92,42.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6627,20,5,Southern Slopes (Tasmania),intermediate,30.79,34.8,20.03,14.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6628,20,5,Southern Slopes (Tasmania),intermediate,40.6,19.8,16.83,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6630,20,5,Southern Slopes (Tasmania),intermediate,43.51,26.18,11.51,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6632,20,5,Southern Slopes (Tasmania),intermediate,12.5,27.78,34.72,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6633,20,5,Southern Slopes (Tasmania),intermediate,25.3,21.69,25.3,27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6634,20,5,Southern Slopes (Tasmania),intermediate,13.79,32.76,27.59,25.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6638,20,5,Southern Slopes (Tasmania),intermediate,39.28,14.29,16.67,29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640,20,5,Southern Slopes (Tasmania),intermediate,20.27,14.63,31.84,33.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6518,20,5,Southern Slopes (Tasmania),rare,25.24,32.71,25.23,16.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6525,20,5,Southern Slopes (Tasmania),rare,26.49,39.74,21.19,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6540,20,5,Southern Slopes (Tasmania),rare,26.86,14.18,26.87,32.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6569,20,5,Southern Slopes (Tasmania),rare,35.96,15.73,25.84,22.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6575,20,5,Southern Slopes (Tasmania),rare,27.7,23.22,20.29,28.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6579,20,5,Southern Slopes (Tasmania),rare,14,31,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6611,20,5,Southern Slopes (Tasmania),rare,20.46,27.27,31.82,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6613,20,5,Southern Slopes (Tasmania),rare,31.13,14.15,28.3,26.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6618,20,5,Southern Slopes (Tasmania),rare,26.09,34.78,19.13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6625,20,5,Southern Slopes (Tasmania),rare,30.91,28.2,19.74,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6646,25,5,Southern Slopes (Tasmania),frequent,44.36,9.2,14.56,17.09,14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6650,25,5,Southern Slopes (Tasmania),frequent,21.83,11.89,30.55,26.02,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6659,25,5,Southern Slopes (Tasmania),frequent,24.04,25.23,23.03,17.82,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6682,25,5,Southern Slopes (Tasmania),frequent,19.75,38.14,0.69,24.33,17.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6683,25,5,Southern Slopes (Tasmania),frequent,44.23,10.54,16.89,15.97,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6684,25,5,Southern Slopes (Tasmania),frequent,20.22,21.35,16.85,23.6,17.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,25,5,Southern Slopes (Tasmania),frequent,22.97,20.27,17.57,17.57,21.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6686,25,5,Southern Slopes (Tasmania),frequent,13.69,12.33,39.73,21.92,12.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6690,25,5,Southern Slopes (Tasmania),frequent,10.6,10.61,24.24,37.88,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
