time,wl-21,wl-21_catchment,wl-2,wl-2_catchment,wl-19,wl-19_catchment
2020-02-12 05:30:00,13.083333000000039,1620.0808786617924,37.90909099999999,1620.0808786617924,18.81818199999998,1620.0808786617924
2020-02-12 05:35:00,13.083333000000039,1676.4689690040764,37.90909099999999,1676.4689690040764,18.81818199999998,1676.4689690040764
2020-02-12 05:40:00,13.083333000000039,1739.2971123235739,37.90909099999999,1739.2971123235739,18.81818199999998,1739.2971123235739
2020-02-12 05:45:00,13.083333000000039,1807.216359734129,37.90909099999999,1807.216359734129,18.81818199999998,1807.216359734129
2020-02-12 05:50:00,-14.272727000000032,1878.968176065168,42.75,1878.968176065168,19.5,1878.968176065168
2020-02-12 05:55:00,-14.272727000000032,1953.4081218518402,42.75,1953.4081218518402,19.5,1953.4081218518402
2020-02-12 06:00:00,-14.272727000000032,2033.5113096582352,42.75,2033.5113096582352,19.5,2033.5113096582352
2020-02-12 06:05:00,-14.272727000000032,2113.0384248469445,42.75,2113.0384248469445,19.5,2113.0384248469445
2020-02-12 06:10:00,-14.272727000000032,2192.579245761218,42.75,2192.579245761218,19.5,2192.579245761218
2020-02-12 06:15:00,-14.272727000000032,2271.4425156566,42.75,2271.4425156566,19.5,2271.4425156566
2020-02-12 06:20:00,-14.272727000000032,2349.0455547850042,42.75,2349.0455547850042,19.5,2349.0455547850042
2020-02-12 06:25:00,-14.272727000000032,2424.903521712192,42.75,2424.903521712192,19.5,2424.903521712192
2020-02-12 06:30:00,-14.272727000000032,2498.6184224229837,42.75,2498.6184224229837,19.5,2498.6184224229837
2020-02-12 06:35:00,-14.272727000000032,2569.868453885855,42.75,2569.868453885855,19.5,2569.868453885855
2020-02-12 06:40:00,-14.272727000000032,3020.8040178925594,42.75,3020.8040178925594,19.5,3020.8040178925594
2020-02-12 06:45:00,-14.272727000000032,3492.5553480411113,42.75,3492.5553480411113,19.5,3492.5553480411113
2020-02-12 06:50:00,-14.272727000000032,3597.5256081291627,42.75,3597.5256081291627,19.5,3597.5256081291627
2020-02-12 06:55:00,-14.272727000000032,3702.6547382872463,42.75,3702.6547382872463,19.5,3702.6547382872463
2020-02-12 07:00:00,-14.272727000000032,3806.6866228433296,42.75,3806.6866228433296,19.5,3806.6866228433296
2020-02-12 07:05:00,-14.272727000000032,3908.5734941320884,42.75,3908.5734941320884,19.5,3908.5734941320884
2020-02-12 07:10:00,-14.272727000000032,4007.455922469272,42.75,4007.455922469272,19.5,4007.455922469272
2020-02-12 07:15:00,-14.272727000000032,4102.641768693992,42.75,4102.641768693992,19.5,4102.641768693992
2020-02-12 07:20:00,-14.272727000000032,4193.585422701797,42.75,4193.585422701797,19.5,4193.585422701797
2020-02-12 07:25:00,-14.272727000000032,4279.868166296346,42.75,4279.868166296346,19.5,4279.868166296346
2020-02-12 07:30:00,-14.272727000000032,4361.1801365754145,42.75,4361.1801365754145,19.5,4361.1801365754145
