The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. Attribution: You must give the original author credit.
               2. Please attribute "Department of Planning Industry and Environment" in any publications using this data.


Station Name, Mt Pleasant
Station Number, 568229
Longitude,150.857178
Latitude,-34.398015
Web,"http://www.mhl.nsw.gov.au/Site-568229"

Datum, 0

Parameter, Rain

Date,Time,Value[mm],State of value
01/02/2020,17:45:00,0.0,150
01/02/2020,17:50:00,0.0,150
01/02/2020,17:55:00,0.0,150
01/02/2020,18:00:00,0.0,150
01/02/2020,18:05:00,0.0,150
01/02/2020,18:10:00,0.0,150
01/02/2020,18:15:00,0.0,150
01/02/2020,18:20:00,0.0,150
01/02/2020,18:25:00,0.0,150
01/02/2020,18:30:00,0.0,150
01/02/2020,18:35:00,0.0,150
01/02/2020,18:40:00,0.0,150
01/02/2020,18:45:00,0.0,150
01/02/2020,18:50:00,0.0,150
01/02/2020,18:55:00,0.0,150
01/02/2020,19:00:00,0.0,150
01/02/2020,19:05:00,0.0,150
01/02/2020,19:10:00,0.0,150
01/02/2020,19:15:00,0.0,150
01/02/2020,19:20:00,0.0,150
01/02/2020,19:25:00,0.0,150
01/02/2020,19:30:00,0.0,150
01/02/2020,19:35:00,0.0,150
01/02/2020,19:40:00,0.0,150
01/02/2020,19:45:00,0.0,150
01/02/2020,19:50:00,0.0,150
01/02/2020,19:55:00,0.0,150
01/02/2020,20:00:00,0.0,150
01/02/2020,20:05:00,0.0,150
01/02/2020,20:10:00,0.0,150
01/02/2020,20:15:00,0.0,150
01/02/2020,20:20:00,0.0,150
01/02/2020,20:25:00,0.0,150
01/02/2020,20:30:00,0.0,150
01/02/2020,20:35:00,0.0,150
01/02/2020,20:40:00,0.0,150
01/02/2020,20:45:00,0.0,150
01/02/2020,20:50:00,0.0,150
01/02/2020,20:55:00,0.0,150
01/02/2020,21:00:00,0.0,150
01/02/2020,21:05:00,0.0,150
01/02/2020,21:10:00,0.0,150
01/02/2020,21:15:00,0.0,150
01/02/2020,21:20:00,0.0,150
01/02/2020,21:25:00,0.0,150
01/02/2020,21:30:00,0.0,150
01/02/2020,21:35:00,0.0,150
01/02/2020,21:40:00,0.0,150
01/02/2020,21:45:00,0.0,150
01/02/2020,21:50:00,0.0,150
01/02/2020,21:55:00,0.0,150
01/02/2020,22:00:00,0.0,150
01/02/2020,22:05:00,0.0,150
01/02/2020,22:10:00,0.0,150
